rel id,rule id,base
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
2,1,1
2,2,0
2,3,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,0
13,7,0
13,8,0
13,9,0
13,10,1
13,11,1
13,12,0
13,13,1
13,14,1
13,15,1
13,16,1
13,17,1
13,18,1
13,19,1
13,20,1
13,21,0
13,22,0
13,23,0
13,24,0
13,25,0
13,26,0
15,1,1
15,2,1
15,3,0
15,4,0
15,5,0
15,6,1
15,7,0
15,8,1
23,1,1
23,2,1
23,3,1
23,4,1
23,5,1
23,6,1
23,7,1
23,8,1
23,9,0
23,10,0
23,11,1
23,12,1
23,13,0
23,14,0
23,15,0
23,16,0
23,17,0
23,18,0
23,19,0
23,20,0
29,1,1
29,2,1
29,3,1
29,4,1
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
29,11,1
29,12,0
29,13,1
29,14,0
29,15,1
29,16,1
29,17,0
29,18,0
29,19,0
29,20,0
29,21,0
29,22,0
29,23,1
37,1,1
37,2,1
37,3,0
37,4,1
37,5,0
37,6,0
37,7,1
37,8,0
37,9,1
37,10,0
37,11,0
37,12,1
37,13,1
37,14,0
37,15,0
37,16,1
37,17,1
37,18,0
37,19,0
37,20,0
37,21,0
37,22,1
44,1,1
44,2,1
44,3,0
44,4,1
44,5,1
44,6,1
44,7,0
44,8,1
44,9,1
44,10,1
44,11,1
44,12,0
44,13,0
44,14,1
58,1,0
58,2,1
58,3,0
58,4,0
58,5,0
58,6,0
58,7,1
58,8,1
58,9,0
58,10,0
58,11,0
58,12,0
58,13,0
58,14,0
58,15,0
58,16,0
58,17,0
58,18,0
62,1,0
62,2,1
62,3,0
62,4,0
62,5,0
62,6,0
62,7,0
62,8,0
62,9,0
63,1,1
63,2,1
63,3,1
65,1,1
65,2,1
65,3,1
65,4,1
65,5,0
65,6,1
65,7,1
65,8,1
65,9,1
65,10,0
65,11,1
65,12,1
69,1,1
69,2,1
69,3,1
69,4,1
69,5,1
69,6,1
69,7,1
69,8,1
69,9,1
69,10,1
69,11,0
69,12,1
69,13,1
69,14,1
69,15,1
69,16,1
69,17,1
69,18,1
69,19,0
69,20,0
69,21,1
69,22,1
69,23,0
69,24,1
69,25,1
69,26,1
69,27,0
69,28,0
69,29,1
69,30,0
69,31,0
72,1,1
72,2,1
72,3,1
72,4,1
72,5,1
72,6,1
72,7,1
72,8,1
72,9,1
72,10,1
72,11,0
72,12,1
72,13,1
72,14,0
72,15,0
72,16,1
72,17,1
72,18,1
72,19,1
72,20,1
72,21,0
72,22,1
72,23,0
72,24,1
72,25,1
72,26,1
72,27,0
72,28,0
72,29,0
72,30,1
72,31,1
73,1,0
73,2,0
73,3,0
73,4,1
73,5,1
73,6,0
73,7,0
73,8,0
73,9,0
73,10,0
73,11,0
73,12,0
73,13,1
87,1,1
87,2,1
87,3,0
87,4,1
87,5,1
87,6,0
118,1,0
118,2,0
118,3,0
118,4,0
118,5,0
118,6,0
118,7,0
118,8,0
118,9,0
118,10,0
118,11,0
118,12,0
118,13,0
118,14,0
118,15,0
118,16,0
139,1,1
139,2,1
139,3,1
139,4,1
139,5,1
139,6,1
139,7,1
139,8,1
139,9,1
139,10,1
139,11,1
139,12,0
139,13,0
139,14,1
139,15,1
139,16,1
139,17,1
139,18,1
139,19,0
139,20,1
139,21,1
139,22,1
139,23,0
139,24,1
139,25,1
139,26,0
139,27,1
139,28,1
139,29,0
139,30,1
139,31,1
